site_id,name,address,point_x,point_y,site_use,status,drain_acres,imp_percent,imp_acres,an_runoff,retro_type,bmp_type,feasibility,dsgn_dfclt,wtrshd_bft,priority,source,oldsiteid
152,,,-76.57996343,39.35131041,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_26
153,,,-76.55918008,39.36470821,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_31
154,,,-76.55813113,39.35534657,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_32
155,,,-76.55164524,39.36996091,,identified,0,0,0,0,,,,,,,DPW-MS4,mo_r_9
156,,,-76.66878843,39.37299902,,identified,0,0,0,0,,,,,,,DPW-MS4,we_r_17
157,,,-76.60605453,39.32313432,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_31
158,,,-76.54587926,39.30771904,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_50
159,,,-76.62950467,39.37088337,,identified,0,0,0,0,,,,,,,DPW-MS4,st_r_3
160,,,-76.66488157,39.35374388,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_40
161,,,-76.55583011,39.31829793,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_48
162,,,-76.59240261,39.29687092,,identified,0,0,0,0,,,,,,,DPW-MS4,ha_r_17
163,,,-76.57020959,39.33123363,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_33
164,,,-76.53531608,39.32138676,,identified,0,0,0,0,,,,,,,DPW-MS4,mo_r_8
165,,,-76.57363287,39.33446129,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_36
166,,,-76.56810626,39.32863141,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_34
167,,,-76.57077857,39.32704078,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_35
168,,,-76.5514909,39.31834132,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_45
169,,,-76.54984978,39.31680067,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_46
170,,,-76.53725143,39.3049701,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_49
171,,,-76.5608377,39.32165686,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_44
172,,,-76.67855661,39.38885689,,identified,0,0,0,0,,,,,,,DPW-MS4,mo_r_9
173,overlea hs,,-76.51341354,39.34916101,,identified,0,0,0,0,,,,,,,DPW-MS4,re_r_9
174,overlea hs,,-76.51323543,39.34934903,,identified,0,0,0,0,,,,,,,DPW-MS4,re_r_10
175,bel mar park,,-76.52702584,39.35112378,,identified,0,0,0,0,,,,,,,DPW-MS4,re_r_16
176,bel mar park,,-76.52706842,39.35229831,,identified,0,0,0,0,,,,,,,DPW-MS4,re_r_17
177,,,-76.57782972,39.36875954,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_2
178,,,-76.58104881,39.36351466,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_6
179,,,-76.57286818,39.33167103,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_12
180,,,-76.55618619,39.32105397,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_15
181,,,-76.58801996,39.35213836,,identified,0,0,0,0,,,,,,,DPW-MS4,ch_r_2
182,,,-76.54089196,39.36685883,,identified,0,0,0,0,,,,,,,DPW-MS4,re_r_1
183,,,-76.70510994,39.36234067,,identified,0,0,0,0,,,,,,,DPW-MS4,we_r_6
184,,,-76.65832643,39.35369973,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_2
185,,,-76.70422022,39.40053123,,identified,0,0,0,0,,,,,,,DPW-MS4,sl_r_1
186,,,-76.57267878,39.36309322,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_28
187,,,-76.56993363,39.36572787,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_29
188,,,-76.65589308,39.34740074,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_7
189,,,-76.66307119,39.34422307,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_10
190,,,-76.60698129,39.3218503,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_30
191,,,-76.56244928,39.32382697,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_42
192,,,-76.58565519,39.32809598,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_41
193,,,-76.64354035,39.34823221,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_8
194,,,-76.59764856,39.35833163,,identified,0,0,0,0,,,,,,,DPW-MS4,ch_r_6
195,,,-76.59803676,39.36321266,,identified,0,0,0,0,,,,,,,DPW-MS4,ch_r_3
196,,,-76.58026133,39.28907702,,identified,0,0,0,0,,,,,,,DPW-MS4,ha_r_5
197,,,-76.58228496,39.32223161,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_38
198,,,-76.55197876,39.31668027,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_40
199,,,-76.54943722,39.31515701,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_47
200,western high school,,-76.64362184,39.34737555,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_9a
201,baltimore polytechnic institute high school,,-76.64476386,39.35142641,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_9b
202,fullerton elementary,,-76.51855986,39.36068261,,identified,0,0,0,0,,,,,,,DPW-MS4,re_r_5
203,overlea hs,,-76.51089544,39.35054054,,identified,0,0,0,0,,,,,,,DPW-MS4,re_r_8
204,bel mar park,,-76.52640384,39.3506437,,identified,0,0,0,0,,,,,,,DPW-MS4,re_r_15
205,park,,-76.52255026,39.35087082,,identified,0,0,0,0,,,,,,,DPW-MS4,re_r_18
206,morgan state,,-76.58271862,39.33835392,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_11a
207,morgan state,,-76.58157384,39.34449566,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_11b
208,golden ring ms,,-76.49910235,39.33308067,,identified,0,0,0,0,,,,,,,DPW-MS4,re_r_20
209,firehouse,,-76.51227004,39.3218169,,identified,0,0,0,0,,,,,,,DPW-MS4,re-r_24
210,herring run park,,-76.55475371,39.31903495,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_55
211,herring run park,,-76.55678245,39.32095064,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_53
212,herring run park,,-76.5575346,39.32154056,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_54
213,brooklyn park er4003,brooklyn,-76.60055833,39.21744284,"Extended Detention Basin, Wetlands",active,,,,,,"extended detention basin, wetlands",,,,,DPW-MS4,
214,gwynns run er4000,gwynns run,-76.6536881,39.27496031,"Extended Detention Basin, Wetlands, Debris Collector",active,,,,,,"extended detention basin, wetlands, debris collector",,,,,DPW-MS4,
215,calverton middle school greening phase i,calverton middle school,-76.65910899,39.30006302,2.8 Ac Unused Impervious Area Replaced With Vegetation,active,,,2.8,,,landscape,,,,,DPW-MS4,
216,bentalou elementary school greening phase i,bentalou elem,-76.65359381,39.29173324,0.69 Ac Unused Impervious Area Replaced With Vegetation,active,,,0.69,,,landscape,,,,,DPW-MS4,
217,harlem park elementary school greening phase i,harlem park elementary,-76.64130356,39.29719616,0.72 Ac Unused Impervious Area Replaced With Vegetation,active,,,0.72,,,landscape,,,,,DPW-MS4,
218,hilton elementary school greening phase i,hilton elem,-76.67367228,39.31912975,0.93 Ac Unused Impervious Area Replaced With Vegetation,active,,,0.93,,,landscape,,,,,DPW-MS4,
219,west baltimore middle school greening phase i,west baltimore middle,-76.69878791,39.2832104,1.22 Ac Unused Impervious Area Replaced With Vegetation,active,,,1.22,,,landscape,,,,,DPW-MS4,
220,gilmor elementary school greening phase i,gilmor elementary school,-76.64251707,39.30366325,0.39 Ac Unused Impervious Area Replaced With Vegetation,active,,,0.39,,,landscape,,,,,DPW-MS4,
221,hamilton middle school greening phase ii,hamilton ms (sefton ave) (jhh),-76.55465783,39.3500449,1.80 Ac Unused Impervious Area Replaced With Vegetation,active,,,1.8,,,landscape,,,,,DPW-MS4,
222,brehms lane elementary school greening phase ii,brehms lane elementary school,-76.56644519,39.32169624,1.70 Ac Unused Impervious Area Replaced With Vegetation,active,,,1.7,,,landscape,,,,,DPW-MS4,
223,middle stony run er4008,wyndhurst ave w coldspring lane,-76.62647679,39.34491358,"Stream Restoration, Utility Protection, Improve Bio-habitat",active,,,,,,"stream restoration, utility protection, improve bio-habitat",,,,,DPW-MS4,
224,upper stony run er4007,northern pkwy to wyndhurst ave,-76.6293394,39.35371913,"Stream Restoration, Utility Protection, Improve Bio-habitat",active,,,,,,"stream restoration, utility protection, improve bio-habitat",,,,,DPW-MS4,
225,lower stony run er4010,coldspring lane to univ pkwy,-76.62600785,39.32294604,"Stream Restoration, Utility Protection, Improve Bio-habitat",active,,,,,,"stream restoration, utility protection, improve bio-habitat",,,,,DPW-MS4,
226,biddison run phase i er4003,confluence with herring run,-76.54705296,39.3099963,"Stream Restoration, Utility Protection, Improve Bio-habitat",active,,,,,,"stream restoration, utility protection, improve bio-habitat",,,,,DPW-MS4,
227,western run phase i er4014,green spring ave,-76.67284409,39.36466192,"Stream Restoration, Utility Protection, Improve Bio-habitat",active,,,,,,"stream restoration, utility protection, improve bio-habitat",,,,,DPW-MS4,
228,ben franklin middle school greening phase iii,ben franklin middle school ps239,-76.59404147,39.23198528,3.01 Ac Unused Impervious Area Replaced With Vegetation,active,,,3.01,,,landscape,,,,,DPW-MS4,
229,franklin square elementary school greening phase iii,franklin square elem school ps95,-76.64042939,39.29148972,1.39 Ac Unused Impervious Area Replaced With Vegetation,active,,,1.39,,,landscape,,,,,DPW-MS4,
230,watershed 263 phase i,baltimore st & frederick ave b1,-76.64259438,39.2883019,Unused Impervious Area Replaced With Vegetation,active,,,,,,landscape,,,,,DPW-MS4,
231,watershed 263 phase i,nw cnr n. mount w. lexington b10,-76.64405699,39.29071612,Unused Impervious Area Replaced With Vegetation,active,,,,,,landscape,,,,,DPW-MS4,
232,barclay em school,2900 barclay st es/msps54,-76.61194353,39.32394433,Unused Impervious Area Replaced With Vegetation,active,,,,,,landscape,,,,,DPW-MS4,
233,curtis bay em school,4301 10th st,-76.59827042,39.22613004,Unused Impervious Area Replaced With Vegetation,active,,,,,,landscape,,,,,DPW-MS4,
234,mad cho stream restoration p1 (mc10),beechfield ave,-76.68589393,39.27814093,"Stream Restoration, Utility Protection, Improve Bio-habitat",active,,,,,,"stream restoration, utility protection, improve bio-habitat",,,,,DPW-MS4,
235,watershed 263 phase i,nwcnr wfairmount &fulton ave c13,-76.64541398,39.28897877,Unused Impervious Area Replaced With Vegetation,active,,,,,,landscape,,,,,DPW-MS4,
236,watershed 263 phase i,alley bet nfulton nbruce st i1,-76.64474264,39.29146525,Unused Impervious Area Replaced With Vegetation,active,,,,,,landscape,,,,,DPW-MS4,
237,watershed 263 phase i,nwcnr w.fayettest n.mount st b13,-76.64393571,39.28972967,Unused Impervious Area Replaced With Vegetation,active,,,,,,landscape,,,,,DPW-MS4,
238,watershed 263 phase i,nwcnr nfulton wlexington st b15,-76.64541483,39.29084132,Unused Impervious Area Replaced With Vegetation,active,,,,,,landscape,,,,,DPW-MS4,
239,charles street culvert repair,n charles st over remove,-76.62247815,39.34748981,Culvert Repair,active,,,,,,culvert repair,,,,,DPW-MS4,
240,yorkwood elementary school greening phase iii,yorkwood elementary school,-76.58131652,39.36322209,Xx Ac Unused Impervious Area Replaced With Vegetation,active,,,,,,landscape,,,,,DPW-MS4,
241,francis scott key em school greening phase - mpa,"francis scott key es/ms, ps #76",0,0,Greening Project Only No Asphalt Removed - Phill Lee Mpa,active,,,,,,landscape,,,,,DPW-MS4,
242,windsor hills em school greening phase - mpa,"windsor hills es/ms, ps#87",0,0,Xx Ac Unused Impervious Area Replaced With Vegetation,active,,,,,,landscape,,,,,DPW-MS4,
